variable,x,y
wc2.0_bio_10m_14,-47.1,7.116244523786008E-5
wc2.0_bio_10m_14,-45.9696,7.116244523786008E-5
wc2.0_bio_10m_14,-44.8392,7.116244523786008E-5
wc2.0_bio_10m_14,-43.708800000000004,7.116244523786008E-5
wc2.0_bio_10m_14,-42.5784,7.116244523786008E-5
wc2.0_bio_10m_14,-41.448,7.116244523786008E-5
wc2.0_bio_10m_14,-40.3176,7.116244523786008E-5
wc2.0_bio_10m_14,-39.187200000000004,7.116244523786008E-5
wc2.0_bio_10m_14,-38.0568,7.116244523786008E-5
wc2.0_bio_10m_14,-36.9264,7.116244523786008E-5
wc2.0_bio_10m_14,-35.796,7.116244523786008E-5
wc2.0_bio_10m_14,-34.6656,7.116244523786008E-5
wc2.0_bio_10m_14,-33.5352,7.116244523786008E-5
wc2.0_bio_10m_14,-32.4048,7.116244523786008E-5
wc2.0_bio_10m_14,-31.2744,7.116244523786008E-5
wc2.0_bio_10m_14,-30.144000000000002,7.116244523786008E-5
wc2.0_bio_10m_14,-29.0136,7.116244523786008E-5
wc2.0_bio_10m_14,-27.8832,7.116244523786008E-5
wc2.0_bio_10m_14,-26.7528,7.116244523786008E-5
wc2.0_bio_10m_14,-25.6224,7.116244523786008E-5
wc2.0_bio_10m_14,-24.492,7.116244523786008E-5
wc2.0_bio_10m_14,-23.3616,7.116244523786008E-5
wc2.0_bio_10m_14,-22.231199999999998,7.116244523786008E-5
wc2.0_bio_10m_14,-21.1008,7.116244523786008E-5
wc2.0_bio_10m_14,-19.970399999999998,7.116244523786008E-5
wc2.0_bio_10m_14,-18.839999999999996,7.116244523786008E-5
wc2.0_bio_10m_14,-17.7096,7.116244523786008E-5
wc2.0_bio_10m_14,-16.5792,7.116244523786008E-5
wc2.0_bio_10m_14,-15.448799999999999,7.116244523786008E-5
wc2.0_bio_10m_14,-14.318399999999997,7.116244523786008E-5
wc2.0_bio_10m_14,-13.188000000000002,7.116244523786008E-5
wc2.0_bio_10m_14,-12.0576,7.116244523786008E-5
wc2.0_bio_10m_14,-10.9272,7.116244523786008E-5
wc2.0_bio_10m_14,-9.796799999999998,7.116244523786008E-5
wc2.0_bio_10m_14,-8.666399999999996,7.116244523786008E-5
wc2.0_bio_10m_14,-7.536000000000001,7.116244523786008E-5
